2000	36,00
0	0,00
10	0,02
20	0,06
30	0,11
40	0,16
50	0,23
60	0,30
70	0,38
80	0,46
90	0,55
100	0,65
110	0,75
120	0,85
130	0,96
140	1,07
150	1,18
160	1,30
170	1,43
180	1,55
190	1,68
200	1,82
210	1,95
220	2,09
230	2,24
240	2,38
250	2,53
260	2,68
270	2,83
280	2,99
290	3,15
300	3,31
310	3,47
320	3,64
330	3,81
340	3,97
350	4,15
360	4,32
370	4,50
380	4,68
390	4,86
400	5,04
410	5,22
420	5,41
430	5,59
440	5,78
450	5,97
460	6,16
470	6,36
480	6,55
490	6,75
500	6,95
510	7,15
520	7,35
530	7,55
540	7,75
550	7,96
560	8,16
570	8,37
580	8,58
590	8,79
600	9,00
610	9,21
620	9,42
630	9,64
640	9,85
650	10,07
660	10,28
670	10,50
680	10,72
690	10,94
700	11,16
710	11,38
720	11,60
730	11,82
740	12,05
750	12,27
760	12,49
770	12,72
780	12,94
790	13,17
800	13,40
810	13,62
820	13,85
830	14,08
840	14,31
850	14,54
860	14,77
870	14,99
880	15,23
890	15,46
900	15,69
910	15,92
920	16,15
930	16,38
940	16,61
950	16,84
960	17,07
970	17,31
980	17,54
990	17,77
1000	18,00
1010	18,23
1020	18,46
1030	18,69
1040	18,93
1050	19,16
1060	19,39
1070	19,62
1080	19,85
1090	20,08
1100	20,31
1110	20,54
1120	20,77
1130	21,00
1140	21,23
1150	21,46
1160	21,69
1170	21,92
1180	22,15
1190	22,38
1200	22,60
1210	22,83
1220	23,06
1230	23,28
1240	23,51
1250	23,73
1260	23,95
1270	24,18
1280	24,40
1290	24,62
1300	24,84
1310	25,06
1320	25,28
1330	25,50
1340	25,72
1350	25,93
1360	26,15
1370	26,36
1380	26,58
1390	26,79
1400	27,00
1410	27,21
1420	27,42
1430	27,63
1440	27,84
1450	28,04
1460	28,25
1470	28,45
1480	28,65
1490	28,85
1500	29,05
1510	29,25
1520	29,45
1530	29,64
1540	29,84
1550	30,03
1560	30,22
1570	30,41
1580	30,59
1590	30,78
1600	30,96
1610	31,15
1620	31,33
1630	31,50
1640	31,68
1650	31,85
1660	32,03
1670	32,19
1680	32,36
1690	32,53
1700	32,69
1710	32,85
1720	33,01
1730	33,17
1740	33,32
1750	33,47
1760	33,62
1770	33,76
1780	33,91
1790	34,05
1800	34,18
1810	34,32
1820	34,45
1830	34,57
1840	34,70
1850	34,81
1860	34,93
1870	35,04
1880	35,15
1890	35,26
1900	35,35
1910	35,45
1920	35,54
1930	35,62
1940	35,70
1950	35,77
1960	35,84
1970	35,89
1980	35,94
1990	35,98
2000	36,00
-
